sample_id NER_function
PD10010 unknown
PD10014 unknown
PD11336 pro
PD11337 unknown
PD11338 unknown
PD11339 def
PD11340 unknown
PD11342 unknown
PD11343 unknown
PD11352 unknown
PD11355 unknown
PD11357 def
PD11358 unknown
PD11359 unknown
PD11360 unknown
PD11361 unknown
PD11364 unknown
PD11365 pro
PD11366 unknown
PD11367 unknown
PD11368 pro
PD11369 unknown
PD11372 unknown
PD11374 unknown
PD11375 unknown
PD11376 unknown
PD11379 unknown
PD11380 pro
PD11381 pro
PD11384 unknown
PD11385 unknown
PD11386 unknown
PD11388 unknown
PD11389 unknown
PD11394 unknown
PD11395 unknown
PD11396 def
PD11397 unknown
PD11398 unknown
PD11399 unknown
PD11402 unknown
PD11740 unknown
PD11741 unknown
PD11751 unknown
PD11752 unknown
PD11762 unknown
PD11816 pro
PD11818 unknown
PD11819 pro
PD13296 def
PD13297 unknown
PD13298 def
PD13299 unknown
PD13302 unknown
PD13304 pro
PD13306 unknown
PD13307 unknown
PD13310 unknown
PD13312 unknown
PD13416 unknown
PD13418 def
PD13419 pro
PD13420 unknown
PD13422 unknown
PD13424 unknown
PD13425 def
PD13426 pro
PD13427 unknown
PD13428 unknown
PD13606 pro
PD13618 unknown
PD13619 unknown
PD13620 unknown
PD13622 unknown
PD13625 unknown
PD13626 unknown
PD13629 unknown
PD13630 def
PD13631 unknown
PD13752 unknown
PD13753 unknown
PD13754 def
PD13755 unknown
PD13756 def
PD13757 unknown
PD13758 def
PD13761 pro
PD13762 unknown
PD13763 def
PD13764 unknown
PD13765 unknown
PD13766 unknown
PD13767 unknown
PD13768 unknown
PD13770 unknown
PD13771 unknown
PD14432 unknown
PD14433 unknown
PD14435 unknown
PD14437 unknown
PD14439 unknown
PD14441 unknown
PD14442 unknown
PD14450 unknown
PD14453 unknown
PD14454 unknown
PD14456 unknown
PD14457 unknown
PD14458 pro
PD14459 unknown
PD14462 unknown
PD14465 unknown
PD14467 unknown
PD14468 unknown
PD14471 unknown
PD14472 unknown
PD14473 def
PD17973 def
PD17981 unknown
PD17991 unknown
PD17994 unknown
PD18100 unknown
PD18101 unknown
PD18149 unknown
PD18247 unknown
PD18251 unknown
PD18257 unknown
PD18258 unknown
PD18259 unknown
PD18264 unknown
PD18269 unknown
PD18728 unknown
PD18730 unknown
PD18733 unknown
PD18734 pro
PD18748 unknown
PD18749 pro
PD18751 unknown
PD18754 unknown
PD18756 unknown
PD18768 unknown
PD18769 unknown
PD18771 unknown
PD18775 unknown
PD18776 unknown
PD3851 pro
PD3890 unknown
PD3904 unknown
PD3905 pro
PD3945 unknown
PD3989 pro
PD4005 def
PD4006 def
PD4069 unknown
PD4085 unknown
PD4086 unknown
PD4088 unknown
PD4103 pro
PD4107 unknown
PD4115 pro
PD4116 unknown
PD4194 def
PD4198 unknown
PD4199 unknown
PD4225 unknown
PD4248 unknown
PD4252 unknown
PD4255 unknown
PD4261 unknown
PD4264 unknown
PD4266 unknown
PD4267 unknown
PD4606 unknown
PD4607 unknown
PD4613 unknown
PD4826 unknown
PD4833 unknown
PD4836 unknown
PD4841 unknown
PD4844 unknown
PD4845 pro
PD4847 unknown
PD4872 unknown
PD4874 unknown
PD4875 unknown
PD4876 unknown
PD4951 unknown
PD4952 unknown
PD4953 unknown
PD4954 unknown
PD4955 unknown
PD4956 unknown
PD4957 unknown
PD4958 unknown
PD4959 def
PD4962 def
PD4965 unknown
PD4967 def
PD4968 pro
PD4970 unknown
PD4971 unknown
PD4972 unknown
PD4975 unknown
PD4976 unknown
PD4977 unknown
PD4978 pro
PD4980 unknown
PD4981 unknown
PD4982 unknown
PD4983 unknown
PD4985 unknown
PD4986 unknown
PD5928 unknown
PD5930 unknown
PD5932 unknown
PD5934 unknown
PD5935 unknown
PD5936 unknown
PD5937 unknown
PD5942 pro
PD5944 unknown
PD5945 pro
PD5947 unknown
PD5948 unknown
PD5950 unknown
PD5951 unknown
PD5953 unknown
PD5956 unknown
PD5959 pro
PD5960 unknown
PD5961 pro
PD5964 unknown
PD6016 unknown
PD6041 unknown
PD6043 unknown
PD6044 unknown
PD6045 unknown
PD6046 unknown
PD6047 unknown
PD6406 unknown
PD6409 def
PD6410 unknown
PD6411 unknown
PD6413 unknown
PD6417 unknown
PD6418 unknown
PD6422 unknown
PD6684 unknown
PD6719 def
PD6720 unknown
PD6722 unknown
PD6727 pro
PD6729 pro
PD7199 unknown
PD7201 unknown
PD7206 unknown
PD7207 unknown
PD7209 unknown
PD7210 unknown
PD7211 unknown
PD7214 unknown
PD7215 unknown
PD7217 unknown
PD7218 unknown
PD7219 unknown
PD7221 unknown
PD7238 unknown
PD7240 def
PD7243 pro
PD7304 pro
PD7322 unknown
PD8609 unknown
PD8610 unknown
PD8611 unknown
PD8612 unknown
PD8614 unknown
PD8615 unknown
PD8617 unknown
PD8618 unknown
PD8619 pro
PD8620 unknown
PD8621 def
PD8622 unknown
PD8623 unknown
PD8652 def
PD8828 unknown
PD8830 unknown
PD8832 unknown
PD8964 unknown
PD8965 unknown
PD8969 unknown
PD8973 unknown
PD8977 unknown
PD8978 unknown
PD8979 unknown
PD8980 def
PD8981 unknown
PD8982 unknown
PD8984 unknown
PD8999 unknown
PD9000 pro
PD9001 unknown
PD9002 unknown
PD9004 unknown
PD9063 unknown
PD9065 pro
PD9067 unknown
PD9193 unknown
PD9464 unknown
PD9539 unknown
PD9541 unknown
PD9544 unknown
PD9567 unknown
PD9568 unknown
PD9569 unknown
