"signature" "cor_with_total_mut" "p_value" "FDR" "median_difference" "difference_of_medians"
1 0.340320181961333 0.829227151815432 0.997466670238006 -10.5558354169238 12.4447383569146
2 0.473366051685086 0.570657465920611 0.970117692065039 -17.1974905611311 -60.7625659556341
3 0.56894444800499 0.113193994687179 0.481074477420511 117.554133502385 213.600442430198
5 -0.0417339962899667 0.946637398084331 1 5.33988963778601e-05 -28.7942511344807
6 0.283183175252905 0.254843343634933 0.866467368358771 1.25260674009375e-05 0.932932414525734
8 0.54988626632148 0.0218684138966184 0.185881518121256 207.969810925543 223.339535304819
9 0.751891802074105 0.880117650210005 0.997466670238006 7.39101143501245 27.5508061562546
12 0.30230939983941 0.387203679429695 0.970117692065039 -9.49061947275761e-06 0
13 0.696743038632545 0.0211928688678302 0.185881518121256 87.1233706823281 115.416365266798
16 0.0535548760473831 0.670589049557703 0.997466670238006 3.80045209964158 3.03137111635954
17 0.312497402944821 1 1 8.19718398187471e-06 0
18 0.202218376620548 0.446968134403909 0.970117692065039 -4.56371490891387e-05 -20.2737991046827
19 0.0945211635537989 0.0431363998520894 0.24443959916184 -26.5206569157361 -85.8516056641299
20 NA NA NA NA NA
21 -0.0123691644551967 0.723133755248804 0.997466670238006 4.23773578492565e-05 0
26 0.171509589531872 0.876159882423186 0.997466670238006 -6.13500642933524e-05 0
29 -0.220012967709613 0.494468426440663 0.970117692065039 6.94264200515816e-05 0
30 0.0790690900603072 0.56876099230003 0.970117692065039 -8.74344593029665 -14.926464592996
